title,artist,original_language,corrected_language
Makhna,"Tanishk Bagchi, Yasser Desai, Asees Kaur",English,Hindi
Dream A Little Dream Of Me - With Introduction,The Mamas & The Papas,Hindi,English
cowboy like me,Taylor Swift,Hindi,English
Could Have Been Me,The Struts,Hindi,English
Marry Me,Thomas Rhett,Hindi,English
Show Me (feat. Chris Brown),"Kid Ink, Chris Brown",Hindi,English
Show Me How to Live,Audioslave,Hindi,English
Tell Me,Wonder Girls,Hindi,English
Plus rien se dire,SCH,Hindi,English
Me Atraiu - Ao Vivo,Gabriela Rocha,Hindi,English
Aankhon Se Batana,Dikshant,Hindi,English
For Me,"CHASE B, OMB Bloodbath, KenTheMan",Hindi,English
You Don't Own Me (feat. G-Eazy),"SAYGRACE, G-Eazy",Hindi,English
Because You Move Me,"Tinlicker, Helsloot",Hindi,English
Gonna Love Me,Teyana Taylor,Hindi,English
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,Hindi,English
Dance with Me Tonight,Olly Murs,Hindi,English
Tell Me You Love Me,Demi Lovato,Hindi,English
Tu Jaane Na,Atif Aslam,English,Hindi
Don't Threaten Me with a Good Time,Panic! At The Disco,Hindi,English
Weight On Me,"Sheff G, Sleepy Hallow",Hindi,English
Subhanallah,Pritam,English,Hindi
Parasite Eve,Bring Me The Horizon,Hindi,English
Next To Me,Imagine Dragons,Hindi,English
Me llamas (feat. Maluma) - Remix,"Piso 21, Maluma",Hindi,English
223's (feat. 9lokknine),"YNW Melly, 9lokknine",English,Hindi
Love Me More,Sam Smith,Hindi,English
Love Me,"Lil Wayne, Drake, Future",Hindi,English
"Mere Yaaraa (From ""Sooryavanshi"")",Arijit Singh,English,Hindi
Me Hace Tanto Bien,Alejandro Fernndez,Hindi,English
Let Me Go,NF,Hindi,English
"Munda Sona Hoon Main (From ""Shehzada"")",Pritam,Punjabi,Hindi
No Me Pesa,Junior H,Hindi,English
Me Enamor,"Jay Wheeler, DJ Nelson",Hindi,English
sex money feelings die,Lykke Li,German,Hindi
Let Me,ZAYN,Hindi,English
Follow Me,Sam Feldt,Hindi,English
My Baby Just Cares for Me - 2013 Remastered Version,Nina Simone,Hindi,English
Waste It On Me (feat. BTS),"Steve Aoki, BTS",Hindi,English
Shauq,Amit Trivedi,English,Hindi
"Deva Deva (From ""Brahmastra"")",Pritam,English,Hindi
Don't Cry For Me (with Jason Derulo),"Alok, Martin Jensen, Jason Derulo",Hindi,English
Save Me,XXXTENTACION,Hindi,English
Tu Amor Me Hace Bien - Salsa Version,Marc Anthony,Hindi,English
do u even miss me at all?,gianni & kyle,Hindi,English
"Say You, Say Me",Lionel Richie,Hindi,English
Rumah Ke Rumah,Hindia,Hindi,English
Does To Me (feat. Eric Church),"Luke Combs, Eric Church",Hindi,English
Me Muero,Carlos Rivera,Hindi,English
If I Know Me,Morgan Wallen,Hindi,English
As Long as You Love Me,Backstreet Boys,Hindi,English
Carry Me Away,John Mayer,Hindi,English
Y Si Me Miran,Natanael Cano,Hindi,English
Me Voy,Julieta Venegas,Hindi,English
1x1 (feat. Nova Twins),"Bring Me The Horizon, Nova Twins",Hindi,English
As Long As You Love Me,"Justin Bieber, Big Sean",Hindi,English
"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",Arijit Singh,English,Hindi
Please Keep Loving Me,James TW,Hindi,English
Send Me An Angel,Scorpions,Hindi,English
Deserve Me (with Summer Walker),Kali Uchis,Hindi,English
No Me Renta,EZVIT 810,Hindi,English
Ishq Wala Love,Vishal-Shekhar,English,Hindi
Jugnu,Badshah,English,Hindi
Bewafa Tera Masoom Chehra,"Rochak Kohli, Jubin Nautiyal",English,Hindi
Friend Like Me,Will Smith,Hindi,English
Give Me One Reason,Tracy Chapman,Hindi,English
"You've Got a Friend in Me - From ""Toy Story""/Soundtrack Version",Randy Newman,Hindi,English
Delilah (pull me out of this),Fred again..,Hindi,English
Sex With Me,Rihanna,Hindi,English
Me Evita Mais,Henry Freitas,Hindi,English
Namo Namo,Amit Trivedi,English,Hindi
Que Me Baile,"ChocQuibTown, Becky G",Hindi,English
Mehrama,Pritam,English,Hindi
Settle Me Down,Josh Abbott Band,Hindi,English
Wake Me Up In Paris,Anthony Keyrouz,Hindi,English
Take It From Me,Jordan Davis,Hindi,English
Catch Me Outside,Ski Mask The Slump God,Hindi,English
(You Make Me Feel Like) A Natural Woman,Aretha Franklin,Hindi,English
Don't Leave Me Alone (feat. Anne-Marie),"David Guetta, Anne-Marie",Hindi,English
hope is a dangerous thing for a woman like me to have - but I have it,Lana Del Rey,Hindi,English
That Should Be Me,Justin Bieber,Hindi,English
Don't Stand So Close To Me,The Police,Hindi,English
it's not u it's me,"Bea Miller, 6LACK",Hindi,English
You Said You'd Grow Old With Me,Michael Schulte,Hindi,English
Scare Me (feat. Karra),"LUM!X, KSHMR, Gabry Ponte, Karra",Hindi,English
Done for Me,"Charlie Puth, Kehlani",Hindi,English
Bebe e Vem Me Procurar,Ra Saia Rodada,Hindi,English
Erase Me - Main,"Kid Cudi, Kanye West",Hindi,English
Jeg glemmer deg aldri - fra Rdebank,Emma Steinbakken,English,Hindi
Don't Leave Me Now,"Lost Frequencies, Mathieu Koss",Hindi,English
t me hiciste volar,Humbe,Hindi,English
Primeiro Beck Ela Me Mamou,Mc Kitinho,Hindi,English
Picture Me Grapin,NLE Choppa,Hindi,English
Cuando T Me Miras,Eslabon Armado,Hindi,English
Call me,90sFlav,Hindi,English
Hepsi Geiyor,Ouzhan Ko,Hindi,English
se essa vida fosse um filme,Giulia Be,Hindi,English
Si Me Tenas,Mijares,Hindi,English
Se Voc For Embora,Tz da Coronel,Hindi,English
Hoy Se Chicha,Jowell & Randy,Hindi,English
Me U & Hennessy (feat. Lil Wayne),DeJ Loaf,Hindi,English
Maan Meri Jaan (Afterlife),King,Hindi,English
Give It To Me,"Timbaland, Justin Timberlake, Nelly Furtado",Hindi,English
Take Me Home Tonight,Eddie Money,Hindi,English
Drown,Bring Me The Horizon,Hindi,English
Blame on Me,J.I the Prince of N.Y,Hindi,English
Nayan,"Dhvani Bhanushali, Jubin Nautiyal, Lijo George-Dj Chetas",English,Hindi
Show Me,Joey Bada$$,Hindi,English
Could Have Been Me,Halsey,Hindi,English
Passin' Me By,The Pharcyde,Hindi,English
You Don't Know Me (feat. RAYE),"Jax Jones, RAYE",Hindi,English
Khuda Jaane,Vishal-Shekhar,English,Hindi
I Know You Want Me (Calle Ocho),Pitbull,Hindi,English
